SAMPLE	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
BTJP4_12	Contig08	1	5731635	10607783	5554388	96.9076	212.954	36.4	58
BTJP4_12	Contig09	1	4595668	8654094	4469160	97.2472	216.859	36.4	58.4
BTJP4_12	Contig10	1	1201610	2975545	921899	76.722	278.297	36.7	40.6
BTJP4_12	Contig11	1	170974	124420	128987	75.4425	77.1841	36.7	23.6
BTJP4_12	Contig12	1	1464303	2389960	1353381	92.4249	186.019	36.4	55.9
BTJP4_12	Contig13	1	4077659	7126800	3839349	94.1557	199.764	36.4	57
BTJP4_12	Contig14	1	55256	39054	46090	83.4118	78.9237	36.5	27
BTJP4_12	Contig15	1	72685	224469	49018	67.4389	357.315	36.4	0.243
BTJP4_12	Contig16	1	77902	79793	44641	57.304	110.877	36.6	0.257
BTJP4_12	Contig17	1	104405	93400	71993	68.9555	97.5752	36.8	9
BTJP4_12	Contig18	1	133460	978173	111211	83.3291	819.231	35.8	1.86
BTJP4_12	Contig19	1	96136	663823	89326	92.9163	803.774	36.4	0.329
BTJP4_12	Contig20	1	73650	12948	36386	49.4039	17.9658	36.6	11
BTJP4_12	Contig21	1	73030	24271	32231	44.1339	35.473	36.7	10.6
BTJP4_12	Contig22	1	52001	1544	8333	16.0247	2.07379	36.8	9.14
BTJP4_12	Contig23	1	70829	5858	23968	33.8392	6.73988	36.7	8.29
BTJP4_12	Contig24	1	75409	12111	26302	34.8791	12.7123	36.7	11.4
BTJP4_15	Contig01	1	11008917	12728082	10251428	93.1193	139.973	38	57.2
BTJP4_15	Contig02	1	8645043	9971716	7983783	92.351	140.209	38	57.5
BTJP4_15	Contig03	1	1697966	1434108	1398481	82.3621	99.2283	38.1	46.4
BTJP4_15	Contig04	1	796569	489735	570412	71.6086	68.4493	38.2	29.9
BTJP4_15	Contig05	1	60573	18621	34157	56.3898	33.2656	38.1	7.37
BTJP4_15	Contig06	1	6618557	7974747	6309780	95.3347	146.362	38	58.3
BTJP4_15	Contig07	1	51574	7944	19888	38.5621	15.7999	38.2	7.35
BTJP4_15	Contig08	1	5731635	7053968	5534620	96.5627	149.712	38	58.5
BTJP4_15	Contig09	1	4595668	5791859	4454543	96.9292	153.435	38	58.9
BTJP4_15	Contig10	1	1201610	1832165	908889	75.6393	178.826	38.2	40.8
BTJP4_15	Contig11	1	170974	71789	125659	73.496	46.6257	38.2	23.7
BTJP4_15	Contig12	1	1464303	1546379	1341156	91.5901	127.401	38	56.7
BTJP4_15	Contig13	1	4077659	4662283	3815678	93.5752	138.235	38	57.8
BTJP4_15	Contig14	1	55256	27574	44233	80.051	58.984	38.1	29.3
BTJP4_15	Contig15	1	72685	145331	44258	60.8901	243.81	38	0.242
BTJP4_15	Contig16	1	77902	42023	32310	41.4752	64.3273	38.2	0.115
BTJP4_15	Contig17	1	104405	56010	65191	62.4405	62.6541	38.2	9.82
BTJP4_15	Contig18	1	133460	607864	104775	78.5067	547.046	37.8	1.53
BTJP4_15	Contig19	1	96136	441638	84705	88.1096	561.196	38	0.344
BTJP4_15	Contig20	1	73650	6771	28806	39.112	10.6064	38.2	12.4
BTJP4_15	Contig21	1	73030	14268	29062	39.7946	21.9523	38.1	9.67
BTJP4_15	Contig22	1	52001	630	4206	8.08831	0.950982	38.2	7.71
BTJP4_15	Contig23	1	70829	2659	18044	25.4754	3.32002	38.2	7.73
BTJP4_15	Contig24	1	75409	5608	22729	30.141	6.12024	38.2	10.6
BTJP4_16	Contig01	1	11008917	17154578	10311764	93.6674	175.103	36.2	56.1
BTJP4_16	Contig02	1	8645043	13338752	8024642	92.8236	174.11	36.2	56.8
BTJP4_16	Contig03	1	1697966	1979233	1425224	83.9371	127.737	36.3	44.6
BTJP4_16	Contig04	1	796569	745509	591049	74.1993	98.701	36.5	29.6
BTJP4_16	Contig05	1	60573	29227	39368	64.9927	47.8073	36.3	8.18
BTJP4_16	Contig06	1	6618557	10528034	6340893	95.8048	179.323	36.2	57.6
BTJP4_16	Contig07	1	51574	13753	23717	45.9863	25.0948	36.6	7.42
BTJP4_16	Contig08	1	5731635	9350012	5557352	96.9593	184.235	36.2	57.9
BTJP4_16	Contig09	1	4595668	7622080	4469197	97.248	187.442	36.2	58.3
BTJP4_16	Contig10	1	1201610	2633485	925184	76.9954	242.823	36.5	39.8
BTJP4_16	Contig11	1	170974	107735	129960	76.0116	65.9817	36.5	22.9
BTJP4_16	Contig12	1	1464303	2098181	1352775	92.3835	160.432	36.2	55.7
BTJP4_16	Contig13	1	4077659	6262946	3840858	94.1927	172.416	36.2	56.9
BTJP4_16	Contig14	1	55256	35110	46618	84.3673	69.5685	36.3	25.5
BTJP4_16	Contig15	1	72685	312655	49487	68.0842	487.121	36.1	0.198
BTJP4_16	Contig16	1	77902	118530	50140	64.3629	159.187	36.3	0.216
BTJP4_16	Contig17	1	104405	85870	72989	69.9095	87.5002	36.5	8.26
BTJP4_16	Contig18	1	133460	1287919	113603	85.1214	1075.67	35.7	1.57
BTJP4_16	Contig19	1	96136	928168	90906	94.5598	1103.26	36.1	0.298
BTJP4_16	Contig20	1	73650	12003	37375	50.7468	16.081	36.4	9.62
BTJP4_16	Contig21	1	73030	21487	32586	44.62	30.9086	36.5	10.4
BTJP4_16	Contig22	1	52001	1369	8795	16.9131	1.87768	36.8	7.4
BTJP4_16	Contig23	1	70829	5277	24063	33.9734	5.91728	36.4	8.1
BTJP4_16	Contig24	1	75409	10963	27158	36.0143	11.3654	36.5	10.6
BTJP4_18	Contig01	1	11008917	11439062	10271928	93.3055	116.068	36.4	56.2
BTJP4_18	Contig02	1	8645043	8907882	8003100	92.5744	115.567	36.4	56.7
BTJP4_18	Contig03	1	1697966	1313237	1411472	83.1272	84.3455	36.5	44.3
BTJP4_18	Contig04	1	796569	484711	582094	73.0752	63.9969	36.7	28.4
BTJP4_18	Contig05	1	60573	18345	38125	62.9406	30.057	36.5	6.99
BTJP4_18	Contig06	1	6618557	7038517	6323923	95.5484	119.176	36.4	57.6
BTJP4_18	Contig07	1	51574	9035	22798	44.2044	16.5907	36.7	6.43
BTJP4_18	Contig08	1	5731635	6253176	5543471	96.7171	122.44	36.4	57.9
BTJP4_18	Contig09	1	4595668	5116505	4461325	97.0767	125.055	36.4	58.3
BTJP4_18	Contig10	1	1201610	1719351	918768	76.4614	157.754	36.7	39
BTJP4_18	Contig11	1	170974	70682	128605	75.219	43.2824	36.7	22.2
BTJP4_18	Contig12	1	1464303	1397962	1347952	92.0542	106.2	36.4	55.6
BTJP4_18	Contig13	1	4077659	4187957	3821172	93.7099	114.62	36.4	56.9
BTJP4_18	Contig14	1	55256	23469	46085	83.4027	46.2445	36.5	23.4
BTJP4_18	Contig15	1	72685	149530	48991	67.4018	230.906	36.3	0.182
BTJP4_18	Contig16	1	77902	54723	47600	61.1024	71.4326	36.5	0.217
BTJP4_18	Contig17	1	104405	55454	71983	68.9459	56.7361	36.7	7.64
BTJP4_18	Contig18	1	133460	625920	111492	83.5396	514.554	35.8	1.71
BTJP4_18	Contig19	1	96136	436039	89868	93.4801	513.423	36.3	0.319
BTJP4_18	Contig20	1	73650	7860	35541	48.2566	10.5843	36.5	8.43
BTJP4_18	Contig21	1	73030	14192	31094	42.577	20.3557	36.7	8.42
BTJP4_18	Contig22	1	52001	881	7383	14.1978	1.22226	36.6	6.92
BTJP4_18	Contig23	1	70829	3512	23184	32.7324	4.13646	36.7	6.45
BTJP4_18	Contig24	1	75409	7060	25288	33.5345	7.38468	36.5	8.91
BTJP4_1	Contig01	1	11008917	9976843	10209375	92.7373	109.015	36.3	56.1
BTJP4_1	Contig02	1	8645043	7805335	7963104	92.1118	109.226	36.3	56.6
BTJP4_1	Contig03	1	1697966	1239811	1383231	81.464	84.4897	36.4	43.5
BTJP4_1	Contig04	1	796569	503512	563675	70.7629	69.5795	36.5	31.2
BTJP4_1	Contig05	1	60573	18422	32470	53.6047	31.3807	36.4	9.13
BTJP4_1	Contig06	1	6618557	6170970	6294524	95.1042	112.644	36.3	57.4
BTJP4_1	Contig07	1	51574	7762	19068	36.9721	15.1854	36.6	9.48
BTJP4_1	Contig08	1	5731635	5454536	5522637	96.3536	115.298	36.3	57.6
BTJP4_1	Contig09	1	4595668	4415524	4445037	96.7223	116.556	36.3	58.3
BTJP4_1	Contig10	1	1201610	1775774	905107	75.3245	172.519	36.5	41.7
BTJP4_1	Contig11	1	170974	71341	122563	71.6852	45.6008	36.5	23.8
BTJP4_1	Contig12	1	1464303	1239730	1334457	91.1326	101.26	36.3	55.4
BTJP4_1	Contig13	1	4077659	3665433	3805284	93.3203	107.992	36.3	56.5
BTJP4_1	Contig14	1	55256	20482	42824	77.5011	43.3619	36.3	28.9
BTJP4_1	Contig15	1	72685	122298	43432	59.7537	205.149	36.2	0.273
BTJP4_1	Contig16	1	77902	43747	29949	38.4445	67.0435	36.3	0.243
BTJP4_1	Contig17	1	104405	51416	63360	60.6867	56.5815	36.6	10
BTJP4_1	Contig18	1	133460	514772	102699	76.9511	458.555	35.8	1.39
BTJP4_1	Contig19	1	96136	378618	83771	87.138	481.577	36.2	0.233
BTJP4_1	Contig20	1	73650	5892	27587	37.4569	9.13646	36.4	13.5
BTJP4_1	Contig21	1	73030	13560	28232	38.6581	20.7258	36.5	11.1
BTJP4_1	Contig22	1	52001	771	4721	9.07867	1.1764	36.4	9.25
BTJP4_1	Contig23	1	70829	2895	17498	24.7046	3.48899	36.5	7.45
BTJP4_1	Contig24	1	75409	6901	21804	28.9143	7.50165	36.4	11.7
BTJP4_2	Contig01	1	11008917	8592004	10220914	92.8421	94.7805	37.8	56.7
BTJP4_2	Contig02	1	8645043	6733550	7973751	92.2349	95.0338	37.8	57.2
BTJP4_2	Contig03	1	1697966	989555	1392772	82.0259	68.4842	37.9	45.7
BTJP4_2	Contig04	1	796569	360720	565528	70.9955	50.3014	38	29.8
BTJP4_2	Contig05	1	60573	13397	32929	54.3625	23.5949	37.9	7.84
BTJP4_2	Contig06	1	6618557	5329479	6292010	95.0662	98.1293	37.8	58
BTJP4_2	Contig07	1	51574	5690	18297	35.4772	11.3808	38	7.99
BTJP4_2	Contig08	1	5731635	4767211	5522652	96.3539	101.568	37.8	58.2
BTJP4_2	Contig09	1	4595668	3885938	4421169	96.203	103.403	37.7	58.7
BTJP4_2	Contig10	1	1201610	1304099	901000	74.9827	127.497	37.9	40.7
BTJP4_2	Contig11	1	170974	51328	125636	73.4825	33.2866	38	23.1
BTJP4_2	Contig12	1	1464303	1052063	1333830	91.0898	86.8642	37.8	56.2
BTJP4_2	Contig13	1	4077659	3259784	3794837	93.0641	96.9766	37.8	57.4
BTJP4_2	Contig14	1	55256	18224	43711	79.1063	39.0495	37.8	28.9
BTJP4_2	Contig15	1	72685	111329	43187	59.4167	187.572	37.7	0.266
BTJP4_2	Contig16	1	77902	29356	26463	33.9696	45.4892	38	0.132
BTJP4_2	Contig17	1	104405	36787	63474	60.7959	41.1023	37.9	9.26
BTJP4_2	Contig18	1	133460	473703	101819	76.2918	427.13	37.5	1.88
BTJP4_2	Contig19	1	96136	338281	82417	85.7296	431.993	37.8	0.465
BTJP4_2	Contig20	1	73650	4544	26541	36.0367	7.19848	37.9	11
BTJP4_2	Contig21	1	73030	10476	28067	38.4322	16.1949	38	9.59
BTJP4_2	Contig22	1	52001	425	3999	7.69024	0.651468	37.9	6.61
BTJP4_2	Contig23	1	70829	1871	16198	22.8692	2.35868	37.9	7.32
BTJP4_2	Contig24	1	75409	4514	20987	27.8309	5.00098	38	10.5
BTJP4_3	Contig01	1	11008917	16539031	10324277	93.781	168.415	36.4	56
BTJP4_3	Contig02	1	8645043	12994725	8034424	92.9368	169.141	36.4	56.3
BTJP4_3	Contig03	1	1697966	2118812	1433591	84.4299	136.528	36.5	42.8
BTJP4_3	Contig04	1	796569	856968	596162	74.8412	113.81	36.6	28.9
BTJP4_3	Contig05	1	60573	36764	39736	65.6002	60.5626	36.5	7.9
BTJP4_3	Contig06	1	6618557	10145503	6345784	95.8787	172.437	36.4	57.5
BTJP4_3	Contig07	1	51574	13589	24164	46.8531	24.6029	36.7	6.82
BTJP4_3	Contig08	1	5731635	8984191	5559623	96.9989	176.676	36.3	57.7
BTJP4_3	Contig09	1	4595668	7340206	4472796	97.3264	180.193	36.3	58.2
BTJP4_3	Contig10	1	1201610	3352494	928044	77.2334	309.236	36.6	40.2
BTJP4_3	Contig11	1	170974	116177	130094	76.0899	71.0118	36.6	22
BTJP4_3	Contig12	1	1464303	2038483	1354891	92.528	155.447	36.3	55.3
BTJP4_3	Contig13	1	4077659	6054516	3844445	94.2807	166.301	36.4	56.7
BTJP4_3	Contig14	1	55256	33879	46393	83.9601	66.6556	36.5	25
BTJP4_3	Contig15	1	72685	194670	49656	68.3167	300.886	36.3	0.231
BTJP4_3	Contig16	1	77902	74478	46813	60.0922	98.5042	36.5	0.264
BTJP4_3	Contig17	1	104405	117939	74336	71.1997	118.169	36.7	8.07
BTJP4_3	Contig18	1	133460	833891	112341	84.1758	683.228	35.7	1.77
BTJP4_3	Contig19	1	96136	569920	89903	93.5165	672.524	36.3	0.302
BTJP4_3	Contig20	1	73650	11847	36784	49.9443	15.8036	36.6	9.82
BTJP4_3	Contig21	1	73030	23896	32792	44.9021	34.4229	36.6	9.8
BTJP4_3	Contig22	1	52001	1484	8950	17.2112	2.02804	36.8	6.96
BTJP4_3	Contig23	1	70829	5529	25424	35.8949	6.19364	36.7	7.06
BTJP4_3	Contig24	1	75409	11340	26872	35.635	11.846	36.6	10.8
BTJP4_5	Contig01	1	11008917	9237259	10270472	93.2923	95.6572	36.3	55.7
BTJP4_5	Contig02	1	8645043	7233261	7995676	92.4886	95.822	36.3	56.2
BTJP4_5	Contig03	1	1697966	1172933	1406003	82.8051	76.5357	36.4	42
BTJP4_5	Contig04	1	796569	469869	578345	72.6045	63.3492	36.6	27.9
BTJP4_5	Contig05	1	60573	18700	37090	61.2319	30.9871	36.4	7.18
BTJP4_5	Contig06	1	6618557	5655386	6319434	95.4805	97.7578	36.3	57.2
BTJP4_5	Contig07	1	51574	7755	21707	42.089	14.8053	36.6	6.14
BTJP4_5	Contig08	1	5731635	5022941	5543549	96.7185	100.461	36.3	57.5
BTJP4_5	Contig09	1	4595668	4089960	4457756	96.9991	102.068	36.3	58
BTJP4_5	Contig10	1	1201610	1713362	918178	76.4123	160.108	36.6	39.4
BTJP4_5	Contig11	1	170974	67088	126023	73.7089	41.6044	36.6	21.6
BTJP4_5	Contig12	1	1464303	1135659	1345631	91.8957	87.9718	36.3	55.1
BTJP4_5	Contig13	1	4077659	3375850	3819990	93.681	94.2619	36.3	56.4
BTJP4_5	Contig14	1	55256	18889	45014	81.4645	38.0082	36.4	22.7
BTJP4_5	Contig15	1	72685	120000	48047	66.103	189.603	36.2	0.184
BTJP4_5	Contig16	1	77902	43832	45687	58.6468	59.491	36.3	0.22
BTJP4_5	Contig17	1	104405	53567	71724	68.6979	56.139	36.6	7.44
BTJP4_5	Contig18	1	133460	507841	110340	82.6765	426.072	35.7	1.71
BTJP4_5	Contig19	1	96136	355681	89096	92.677	427.964	36.2	0.31
BTJP4_5	Contig20	1	73650	6504	34680	47.0876	9.05551	36.4	8.13
BTJP4_5	Contig21	1	73030	12906	31117	42.6085	18.981	36.6	8.58
BTJP4_5	Contig22	1	52001	796	6724	12.9305	1.14386	36.4	6.4
BTJP4_5	Contig23	1	70829	3104	22246	31.408	3.73327	36.4	5.52
BTJP4_5	Contig24	1	75409	6621	25237	33.4668	7.18902	36.4	8.55
BTJP4_6	Contig01	1	11008917	12784297	10287518	93.4471	131.382	36.3	56.1
BTJP4_6	Contig02	1	8645043	10000439	8012080	92.6783	131.423	36.3	56.5
BTJP4_6	Contig03	1	1697966	1581857	1416674	83.4336	102.493	36.4	43.4
BTJP4_6	Contig04	1	796569	597467	585476	73.4997	79.7343	36.6	29
BTJP4_6	Contig05	1	60573	24193	37805	62.4123	39.6927	36.4	8.08
BTJP4_6	Contig06	1	6618557	7862492	6328699	95.6205	134.886	36.3	57.5
BTJP4_6	Contig07	1	51574	10243	23258	45.0964	18.7973	36.6	7.01
BTJP4_6	Contig08	1	5731635	6979834	5547114	96.7807	138.49	36.3	57.8
BTJP4_6	Contig09	1	4595668	5697526	4463915	97.1331	141.092	36.3	58.3
BTJP4_6	Contig10	1	1201610	2157000	922604	76.7807	199.894	36.6	40.2
BTJP4_6	Contig11	1	170974	87975	128331	75.0588	54.2496	36.6	22.4
BTJP4_6	Contig12	1	1464303	1566403	1348190	92.0704	120.461	36.3	55.5
BTJP4_6	Contig13	1	4077659	4676972	3829873	93.9233	129.626	36.3	56.8
BTJP4_6	Contig14	1	55256	26090	46568	84.2768	52.0191	36.4	24.8
BTJP4_6	Contig15	1	72685	158291	48310	66.4649	248.196	36.2	0.21
BTJP4_6	Contig16	1	77902	57892	46538	59.7392	78.0474	36.4	0.266
BTJP4_6	Contig17	1	104405	65837	72160	69.1155	67.9101	36.6	8.1
BTJP4_6	Contig18	1	133460	672184	111871	83.8236	559.174	35.7	1.75
BTJP4_6	Contig19	1	96136	465722	89969	93.5851	556.202	36.2	0.293
BTJP4_6	Contig20	1	73650	8647	35437	48.1154	11.8897	36.5	9.67
BTJP4_6	Contig21	1	73030	16802	32032	43.8614	24.3962	36.6	9.63
BTJP4_6	Contig22	1	52001	1074	7701	14.8093	1.50003	36.6	7.69
BTJP4_6	Contig23	1	70829	3992	22606	31.9163	4.64162	36.6	6.93
BTJP4_6	Contig24	1	75409	8081	27198	36.0673	8.5908	36.5	9.93
BTJP4_9	Contig01	1	11008917	18191418	10287093	93.4433	200.448	38	57.1
BTJP4_9	Contig02	1	8645043	14332662	8006298	92.6114	201.845	38	57.2
BTJP4_9	Contig03	1	1697966	2250315	1415205	83.3471	156.078	38.1	44.4
BTJP4_9	Contig04	1	796569	804392	585119	73.4549	114.215	38.2	28.8
BTJP4_9	Contig05	1	60573	34614	36173	59.718	62.6709	38.1	7.26
BTJP4_9	Contig06	1	6618557	11371999	6329599	95.6341	209.12	38	58.4
BTJP4_9	Contig07	1	51574	10570	20703	40.1423	20.9644	38.2	7.36
BTJP4_9	Contig08	1	5731635	10023344	5546516	96.7702	213.112	38	58.6
BTJP4_9	Contig09	1	4595668	8252242	4464533	97.1466	218.977	38	58.9
BTJP4_9	Contig10	1	1201610	3390735	916890	76.3051	333.19	38.1	41.2
BTJP4_9	Contig11	1	170974	114474	127085	74.33	75.0484	38.2	22.4
BTJP4_9	Contig12	1	1464303	2198026	1348356	92.0818	181.526	38	56.7
BTJP4_9	Contig13	1	4077659	6647497	3829214	93.9072	197.523	38	57.8
BTJP4_9	Contig14	1	55256	36440	44482	80.5017	78.2235	38	28.5
BTJP4_9	Contig15	1	72685	214090	46427	63.8743	359.504	37.9	0.231
BTJP4_9	Contig16	1	77902	60992	35831	45.995	93.7615	38.2	0.124
BTJP4_9	Contig17	1	104405	106156	67627	64.7737	119.239	38.1	9.59
BTJP4_9	Contig18	1	133460	878629	106548	79.8352	793.27	37.8	1.43
BTJP4_9	Contig19	1	96136	638770	85891	89.3432	812.763	38	0.339
BTJP4_9	Contig20	1	73650	10119	30151	40.9382	15.9199	38.1	11.7
BTJP4_9	Contig21	1	73030	22473	30312	41.5062	34.7589	38.1	9.24
BTJP4_9	Contig22	1	52001	839	5613	10.794	1.33384	38.4	5.96
BTJP4_9	Contig23	1	70829	3511	19866	28.0478	4.40033	38.1	7.21
BTJP4_9	Contig24	1	75409	6553	24202	32.0943	7.17501	38.1	10.5
BTMP_S13_1	Contig01	1	11008917	9213250	10235440	92.9741	97.4619	36.5	56.2
BTMP_S13_1	Contig02	1	8645043	7199504	7981430	92.3238	97.4616	36.5	56.6
BTMP_S13_1	Contig03	1	1697966	1105254	1387525	81.7169	73.5946	36.6	44.3
BTMP_S13_1	Contig04	1	796569	441420	569471	71.4905	59.8557	36.8	29.9
BTMP_S13_1	Contig05	1	60573	15555	35831	59.1534	26.7261	36.6	6.99
BTMP_S13_1	Contig06	1	6618557	5658537	6307917	95.3065	99.9649	36.5	57.5
BTMP_S13_1	Contig07	1	51574	7121	20814	40.3575	13.553	36.7	7.85
BTMP_S13_1	Contig08	1	5731635	5022942	5532552	96.5266	102.648	36.4	57.8
BTMP_S13_1	Contig09	1	4595668	4103706	4453901	96.9152	104.705	36.4	58.3
BTMP_S13_1	Contig10	1	1201610	1537922	900620	74.9511	146.081	36.7	40
BTMP_S13_1	Contig11	1	170974	62353	125381	73.3334	39.3001	36.7	22.6
BTMP_S13_1	Contig12	1	1464303	1132553	1338940	91.4387	89.6412	36.4	55.6
BTMP_S13_1	Contig13	1	4077659	3374428	3811888	93.4823	96.2478	36.4	56.7
BTMP_S13_1	Contig14	1	55256	18816	44849	81.1658	38.5024	36.6	25.9
BTMP_S13_1	Contig15	1	72685	103491	46229	63.6018	167.319	36.3	0.242
BTMP_S13_1	Contig16	1	77902	33499	40273	51.697	47.1707	36.6	0.275
BTMP_S13_1	Contig17	1	104405	55076	68338	65.4547	59.2783	36.8	9.33
BTMP_S13_1	Contig18	1	133460	457361	107433	80.4983	388.177	35.8	1.97
BTMP_S13_1	Contig19	1	96136	308485	87175	90.6788	378.642	36.4	0.334
BTMP_S13_1	Contig20	1	73650	5624	30247	41.0686	8.161	36.7	10.6
BTMP_S13_1	Contig21	1	73030	11747	29562	40.4793	17.5399	36.7	9.53
BTMP_S13_1	Contig22	1	52001	700	6056	11.6459	0.9985	36.9	6.77
BTMP_S13_1	Contig23	1	70829	2623	21017	29.6729	3.15866	36.6	7.15
BTMP_S13_1	Contig24	1	75409	6119	23535	31.2098	6.57166	36.6	10.7
BTMP_S13_2	Contig01	1	11008917	23510399	10338062	93.9063	258.242	36.3	56.6
BTMP_S13_2	Contig02	1	8645043	18383429	8030592	92.8924	258.426	36.3	57.1
BTMP_S13_2	Contig03	1	1697966	2761060	1422336	83.767	190.101	36.3	45.5
BTMP_S13_2	Contig04	1	796569	1011814	584197	73.3392	139.975	36.5	31
BTMP_S13_2	Contig05	1	60573	38775	35539	58.6714	68.5003	36.3	8.46
BTMP_S13_2	Contig06	1	6618557	14549922	6353975	96.0024	266.843	36.3	57.8
BTMP_S13_2	Contig07	1	51574	16784	20802	40.3343	32.8831	36.6	9.47
BTMP_S13_2	Contig08	1	5731635	12988575	5559919	97.0041	275.714	36.3	58.1
BTMP_S13_2	Contig09	1	4595668	10608089	4471854	97.3059	281.169	36.2	58.6
BTMP_S13_2	Contig10	1	1201610	3671982	914478	76.1044	357.994	36.5	41
BTMP_S13_2	Contig11	1	170974	147866	129220	75.5787	95.1306	36.5	24.1
BTMP_S13_2	Contig12	1	1464303	2895833	1355563	92.5739	238.006	36.2	56.1
BTMP_S13_2	Contig13	1	4077659	8618862	3856896	94.586	255.298	36.2	57.1
BTMP_S13_2	Contig14	1	55256	46706	44650	80.8057	99.4489	36.3	28.9
BTMP_S13_2	Contig15	1	72685	297944	46287	63.6816	500.948	36.2	0.257
BTMP_S13_2	Contig16	1	77902	104137	35518	45.5932	160.397	36.3	0.182
BTMP_S13_2	Contig17	1	104405	107747	67102	64.2709	119.341	36.6	10.1
BTMP_S13_2	Contig18	1	133460	1267124	107183	80.311	1131.44	35.8	1.31
BTMP_S13_2	Contig19	1	96136	908519	86841	90.3314	1156.92	36.2	0.204
BTMP_S13_2	Contig20	1	73650	13657	29601	40.1914	21.4271	36.4	13.4
BTMP_S13_2	Contig21	1	73030	27914	30680	42.0101	42.8128	36.5	11.4
BTMP_S13_2	Contig22	1	52001	1573	5221	10.0402	2.37601	36.6	9.18
BTMP_S13_2	Contig23	1	70829	5897	21078	29.759	7.11526	36.4	7.92
BTMP_S13_2	Contig24	1	75409	13897	24242	32.1474	15.3087	36.4	12.1
BTTrp-5	Contig01	1	11008917	2056802	10167949	92.361	22.6664	36.3	54.2
BTTrp-5	Contig02	1	8645043	1673685	8055001	93.1748	23.6003	36.3	53.8
BTTrp-5	Contig03	1	1697966	264037	1306653	76.954	18.7129	36.3	36.2
BTTrp-5	Contig04	1	796569	146412	562604	70.6284	21.8742	36.4	25.2
BTTrp-5	Contig05	1	60573	1955	17223	28.4335	3.45056	36.5	13.1
BTTrp-5	Contig06	1	6618557	1237980	6213982	93.8873	22.7603	36.3	56
BTTrp-5	Contig07	1	51574	602	9543	18.5035	1.17468	36.5	7.92
BTTrp-5	Contig08	1	5731635	1062624	5392934	94.0907	22.5569	36.3	56.7
BTTrp-5	Contig09	1	4595668	864206	4414820	96.0648	22.9476	36.3	57.7
BTTrp-5	Contig10	1	1201610	64590	369328	30.7361	5.91681	36.4	20.4
BTTrp-5	Contig11	1	170974	34565	126099	73.7533	24.1681	36.4	22.1
BTTrp-5	Contig12	1	1464303	239507	1279444	87.3756	19.6497	36.3	52.6
BTTrp-5	Contig13	1	4077659	718135	3729681	91.4662	21.3746	36.3	54.3
BTTrp-5	Contig14	1	55256	4004	39946	72.2926	8.67681	36.3	24.6
BTTrp-5	Contig15	1	72685	23954	35905	49.3981	40.0274	36.2	0.297
BTTrp-5	Contig16	1	77902	8725	19224	24.6772	13.2358	36.3	0.304
BTTrp-5	Contig17	1	104405	2364	14734	14.1124	2.30894	36.5	6.85
BTTrp-5	Contig18	1	133460	110174	91733	68.7345	98.2969	35.7	2.4
BTTrp-5	Contig19	1	96136	76567	75887	78.9371	97.2304	36.1	0.385
BTTrp-5	Contig20	1	73650	1722	21872	29.6972	2.44929	36.5	15.6
BTTrp-5	Contig21	1	73030	27560	29765	40.7572	46.4987	36.4	18.1
BTTrp-5	Contig22	1	52001	217	2737	5.26336	0.271918	36.4	15.3
BTTrp-5	Contig23	1	70829	1040	8291	11.7057	0.612066	36.6	28.5
BTTrp-5	Contig24	1	75409	912	7868	10.4338	1.02684	36.5	8.32
BTTrp-6	Contig01	1	11008917	22062183	10441449	94.8454	237.082	36.4	54.1
BTTrp-6	Contig02	1	8645043	17761554	8216734	95.0456	243.948	36.4	53.6
BTTrp-6	Contig03	1	1697966	2863656	1423789	83.8526	198.276	36.4	35.4
BTTrp-6	Contig04	1	796569	1573755	626741	78.6801	231.105	36.5	24.3
BTTrp-6	Contig05	1	60573	22998	27923	46.0981	41.243	36.5	9.74
BTTrp-6	Contig06	1	6618557	13261108	6352248	95.9763	237.407	36.4	56
BTTrp-6	Contig07	1	51574	7529	17801	34.5155	13.6641	36.5	5.03
BTTrp-6	Contig08	1	5731635	11277837	5491932	95.8179	233.211	36.4	56.8
BTTrp-6	Contig09	1	4595668	9237513	4478144	97.4427	238.758	36.4	57.6
BTTrp-6	Contig10	1	1201610	675698	476278	39.6367	61.7669	36.5	18.5
BTTrp-6	Contig11	1	170974	374521	140260	82.0359	256.535	36.5	20.6
BTTrp-6	Contig12	1	1464303	2549959	1337022	91.3077	204.342	36.4	52.5
BTTrp-6	Contig13	1	4077659	7772845	3837963	94.1217	225.479	36.4	54.4
BTTrp-6	Contig14	1	55256	46057	46166	83.5493	97.3299	36.5	22.5
BTTrp-6	Contig15	1	72685	283429	47416	65.2349	460.789	36.3	0.193
BTTrp-6	Contig16	1	77902	111502	47212	60.6043	163.42	36.4	0.176
BTTrp-6	Contig17	1	104405	23843	25875	24.7833	22.7711	36.6	6.07
BTTrp-6	Contig18	1	133460	1181391	110017	82.4344	1038.39	36	1.54
BTTrp-6	Contig19	1	96136	852779	89737	93.3438	1055.7	36.3	0.231
BTTrp-6	Contig20	1	73650	18116	36439	49.4759	26.9461	36.5	8.83
BTTrp-6	Contig21	1	73030	269388	38462	52.666	447.932	36.5	16.4
BTTrp-6	Contig22	1	52001	2049	8000	15.3843	3.37878	36.5	5.09
BTTrp-6	Contig23	1	70829	4925	18907	26.6939	6.48222	36.4	1.27
